fid,timestamp,latitude,longitude,target
1514764800-1.336.8,2018-01-01 00:00:00,-1.4313142255171425,36.83014873323866,0
1514764800-1.336.8,2018-01-01 00:00:00,-1.2274018053710467,36.691137465299754,0
1514764800-1.236.8,2018-01-01 00:00:00,-1.061538133964149,36.74885054725142,0
1514764800-0.637.0,2018-01-01 00:00:00,-0.593151398746439,37.094150332159224,0
1514768400-1.336.8,2018-01-01 01:00:00,-1.296986621569622,36.77126822625995,0
1514768400-1.336.9,2018-01-01 01:00:00,-1.3592657588250678,36.84518105349368,0
1514772000-1.336.8,2018-01-01 02:00:00,-1.2286513069982525,36.59734096231746,0
1514772000-1.336.8,2018-01-01 02:00:00,-1.3525803145689608,36.74228549485682,0
1514779200-1.336.7,2018-01-01 04:00:00,-1.2143021442773938,36.88307399658343,0
1514779200-1.336.7,2018-01-01 04:00:00,-1.1484965560467335,36.641717055389215,0
1514782800-1.336.9,2018-01-01 05:00:00,-1.3558338266374619,36.93044133661169,0
1514782800-1.236.8,2018-01-01 05:00:00,-1.0869274717871273,36.93648451350673,0
1514786400-1.336.8,2018-01-01 06:00:00,-1.1440769464982012,36.98452401559829,0
1514786400-1.336.8,2018-01-01 06:00:00,-1.2512027649297162,36.58986961816026,0
1514790000-1.436.9,2018-01-01 07:00:00,-1.5760233766807366,36.984344812838685,0
1514790000-1.336.9,2018-01-01 07:00:00,-1.583258393470378,36.81580881851991,0
1514790000-1.036.6,2018-01-01 07:00:00,-0.7910901715027685,36.544878143176014,0
1514793600-1.336.9,2018-01-01 08:00:00,-1.2578545848077878,36.91067818397902,0
1514793600-1.336.8,2018-01-01 08:00:00,-1.2975291978037995,36.876428267783524,0
1514793600-1.336.9,2018-01-01 08:00:00,-1.297244271086698,36.834536214380755,0
1514793600-1.236.9,2018-01-01 08:00:00,-1.0782875869835364,36.87515960817974,0
1514793600-1.336.9,2018-01-01 08:00:00,-1.2869973809115778,36.779324239638854,0
1514793600-1.336.7,2018-01-01 08:00:00,-1.2461046295653742,36.66203556735979,0
1514793600-1.336.7,2018-01-01 08:00:00,-1.3588568728590098,36.80466763237032,0
1514793600-1.236.9,2018-01-01 08:00:00,-1.3791570599403047,36.87330152772839,0
1514793600-1.336.8,2018-01-01 08:00:00,-1.3798297511762765,36.666054419794676,0
1514793600-1.336.8,2018-01-01 08:00:00,-1.1290648110196475,36.95499424363849,0
1514797200-1.336.8,2018-01-01 09:00:00,-1.3480314815770964,36.924988421437675,0
1514797200-1.336.9,2018-01-01 09:00:00,-1.2739790896714607,36.85213024833715,0
1514797200-1.336.8,2018-01-01 09:00:00,-1.3355559466896514,36.696565230629396,0
1514797200-1.436.9,2018-01-01 09:00:00,-1.334733218011481,37.01127211590128,0
1514800800-0.736.8,2018-01-01 10:00:00,-0.7050489254713851,36.75174205642463,0
1514800800-1.336.7,2018-01-01 10:00:00,-1.1548320823653275,36.71071891124376,0
1514804400-1.336.9,2018-01-01 11:00:00,-1.418871032538651,36.77374869366431,0
1514804400-1.236.9,2018-01-01 11:00:00,-1.131146031161326,36.93999492428381,0
1514808000-1.336.9,2018-01-01 12:00:00,-1.243359065023898,36.71473388133317,0
1514808000-1.236.7,2018-01-01 12:00:00,-1.1069445597286012,36.519372262490194,0
1514808000-1.336.8,2018-01-01 12:00:00,-1.4395624504914857,36.92041226098171,0
1514811600-0.637.0,2018-01-01 13:00:00,-0.6370540451792963,37.03824728211795,0
1514811600-1.336.8,2018-01-01 13:00:00,-1.194794653996958,36.95251702072224,0
1514815200-1.336.7,2018-01-01 14:00:00,-1.132220308695426,36.72205550122782,0
1514815200-1.236.9,2018-01-01 14:00:00,-1.2556017605370215,36.8937322766077,0
1514815200-1.336.8,2018-01-01 14:00:00,-1.1777052741016247,36.83751989023735,0
1514815200-1.336.7,2018-01-01 14:00:00,-1.2007574378276895,36.64462507414133,0
1514815200-1.336.8,2018-01-01 14:00:00,-1.1471257423975907,36.88628588412645,0
1514818800-1.236.8,2018-01-01 15:00:00,-1.1853942048761603,36.798550814801544,0
1514818800-1.436.9,2018-01-01 15:00:00,-1.3839638356109263,36.77973716124126,0
1514822400-1.336.9,2018-01-01 16:00:00,-1.4768273022528706,36.92427097586064,0
1514822400-1.336.8,2018-01-01 16:00:00,-1.2033059295298063,36.94423216063434,0
1514822400-1.336.9,2018-01-01 16:00:00,-1.2592628246681041,36.88862118251209,0
1514822400-1.236.9,2018-01-01 16:00:00,-1.1232126741853123,36.88516728788338,0
1514822400-1.336.8,2018-01-01 16:00:00,-1.374954357576548,36.94076224212228,0
1514826000-1.236.9,2018-01-01 17:00:00,-1.1865569302554348,37.05467042919011,0
1514826000-1.336.9,2018-01-01 17:00:00,-1.3094332666858355,36.87600051396544,0
1514826000-1.336.8,2018-01-01 17:00:00,-1.13464286470296,36.79302519831349,0
1514826000-1.236.8,2018-01-01 17:00:00,-1.2042600394145804,36.82879116088172,0
1514829600-1.236.9,2018-01-01 18:00:00,-1.1589686939333683,36.9668917265416,0
1514829600-1.336.9,2018-01-01 18:00:00,-1.1762017548912522,36.82730174300473,0
1514833200-1.336.8,2018-01-01 19:00:00,-1.4570889070899795,36.81234068873433,0
1514833200-1.236.8,2018-01-01 19:00:00,-1.2502819905697133,36.966311302085266,0
1514833200-1.336.9,2018-01-01 19:00:00,-1.2689724440890604,37.01508273379754,0
1514833200-1.336.8,2018-01-01 19:00:00,-1.2140846972278392,37.051523453655804,0
1514833200-1.236.9,2018-01-01 19:00:00,-1.2014096469731799,36.96088208317542,0
1514833200-1.336.8,2018-01-01 19:00:00,-1.4169041821264166,36.852937303982756,0
1514833200-1.236.9,2018-01-01 19:00:00,-1.3546372101339144,36.76419458673731,0
1514833200-1.336.8,2018-01-01 19:00:00,-1.2309694960577082,36.87677987103821,0
1514836800-1.336.8,2018-01-01 20:00:00,-1.1721055408566514,36.87055822796614,0
1514836800-1.336.8,2018-01-01 20:00:00,-1.268722008625731,36.62192856890731,0
1514840400-1.336.8,2018-01-01 21:00:00,-1.3297069971681668,36.87611225407793,0
1514840400-1.137.0,2018-01-01 21:00:00,-1.0595215677460323,37.10809805266677,0
1514840400-1.236.9,2018-01-01 21:00:00,-1.2935885594922498,36.980392731006035,0
1514847600-1.236.9,2018-01-01 23:00:00,-1.2494725362124603,36.76907791307276,0
1514847600-1.237.0,2018-01-01 23:00:00,-1.3106815876433906,36.946356577350706,0
1514851200-1.336.8,2018-01-02 00:00:00,-1.4405151520943589,36.82740685079067,0
1514854800-1.037.1,2018-01-02 01:00:00,-1.0649104522183428,37.016489901153435,0
1514858400-1.236.8,2018-01-02 02:00:00,-1.2690829766716785,36.92402838051323,0
1514858400-1.436.7,2018-01-02 02:00:00,-1.4544946006814323,36.699255880884316,0
1514858400-1.336.9,2018-01-02 02:00:00,-1.2360880440464341,36.699112807808795,0
1514858400-1.336.8,2018-01-02 02:00:00,-1.235345666363465,36.871320630271825,0
1514862000-1.336.9,2018-01-02 03:00:00,-1.2330367864585787,36.772882008217664,0
1514862000-1.336.8,2018-01-02 03:00:00,-1.423396952007424,36.77279672805502,0
1514862000-1.336.8,2018-01-02 03:00:00,-1.296714470557582,36.80090568265466,0
1514862000-1.336.8,2018-01-02 03:00:00,-1.4347874544078614,36.82643691469254,0
1514862000-1.336.8,2018-01-02 03:00:00,-1.5078284723375353,36.79559914124565,0
